Brand,Model,Variant,Year,Fuel,Transmission,KM Driven,Ownership,Price,Color,Registration State,Description,Dealer Price,Discount,Main Image URL
Hyundai,Creta,SX(O) Diesel AT,2025,Diesel,Automatic,0,1,1899000,Atlas White,Maharashtra,Brand new 2025 stock. Ex-showroom. 3-year warranty. Free 3 services.,1845000,3,https://images.unsplash.com/photo-1609521263047-f8f205293f24?w=800
Hyundai,Venue,SX Turbo DCT,2025,Petrol,Automatic,0,1,1345000,Typhoon Silver,Maharashtra,Turbo petrol. Sunroof. Wireless Android Auto. Zero KM.,1319000,2,https://images.unsplash.com/photo-1621007947412-bf9849fb4dbb?w=800
Hyundai,Exter,EX(O) AMT,2025,Petrol,Automatic,0,1,999000,Atlas White,Maharashtra,Compact SUV. Sunroof. ADAS. Immediate delivery.,979000,2,https://images.unsplash.com/photo-1619767886555-ef069784966e?w=800
Hyundai,Alcazar,Signature Diesel AT 6 STR,2025,Diesel,Automatic,0,1,2199000,Atlas White,Maharashtra,6-seater premium SUV. Ventilated seats. 360 camera.,2155000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Tata,Nexon,Creative Plus S Dark Edition,2025,Petrol,Automatic,0,1,1420000,Daytona Grey,Maharashtra,Connected car. 6 airbags. Exchange bonus available.,1395000,2,https://images.unsplash.com/photo-1619767886555-ef069784966e?w=800
Tata,Punch,Accomplished Plus S AMT,2025,Petrol,Automatic,0,1,1099000,Orcus White,Maharashtra,Micro SUV. 5-star safety. Dual-tone roof option.,1079000,2,https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?w=800
Tata,Harrier,Plus Dark Edition AT,2025,Diesel,Automatic,0,1,2499000,Calgary White,Maharashtra,Flagship SUV. ADAS. JBL audio. Panoramic sunroof.,2449000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Tata,Nexon EV,Empowered Plus LR,2025,Electric,Automatic,0,1,1999000,Calgary White,Maharashtra,465 km ARAI range. Fast charger compatible.,1965000,2,https://images.unsplash.com/photo-1593941707882-a5bba14938ce?w=800
Tata,Tiago EV,XZ Plus Tech Lux LR,2025,Electric,Automatic,0,1,1299000,Teal Blue,Maharashtra,City EV. 315 km range. Compact and efficient.,1275000,2,https://images.unsplash.com/photo-1593941707882-a5bba14938ce?w=800
Maruti,Suzuki Swift,VXI AMT,2025,Petrol,Automatic,0,1,899000,Pearl Arctic White,Maharashtra,New 2025 Swift. AMT. Extended warranty optional.,879000,2,https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?w=800
Maruti,Suzuki Brezza,ZXI Plus AT,2025,Petrol,Automatic,0,1,1399000,Sizzling Red,Maharashtra,Compact SUV. Smart hybrid. 360 view camera.,1375000,2,https://images.unsplash.com/photo-1609521263047-f8f205293f24?w=800
Maruti,Suzuki Grand Vitara,Alpha Plus Hybrid AT,2025,Hybrid,Automatic,0,1,1999000,Arctic White,Maharashtra,Strong hybrid. Panoramic sunroof. Premium interior.,1965000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Maruti,Suzuki Fronx,Alpha Turbo AT,2025,Petrol,Automatic,0,1,1199000,Bluish Black,Maharashtra,Crossover. Turbo engine. Sporty design.,1175000,2,https://images.unsplash.com/photo-1621007947412-bf9849fb4dbb?w=800
Mahindra,Scorpio N,Z8L Diesel AT 7 STR,2025,Diesel,Automatic,0,1,2249000,Napoli Black,Maharashtra,7-seater. ADAS. Panoramic sunroof. Ready delivery.,2199000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Mahindra,XUV700,AX7 L Diesel AT AWD,2025,Diesel,Automatic,0,1,2699000,Everest White,Maharashtra,AWD. ADAS Level 2. Sony 3D audio. Luxury SUV.,2649000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Mahindra,Thar,Hard Top Diesel AT 4x4,2025,Diesel,Automatic,0,1,1799000,Napoli Black,Maharashtra,Iconic 4x4. Convertible hard top. Off-road ready.,1765000,2,https://images.unsplash.com/photo-1619767886555-ef069784966e?w=800
Mahindra,XUV400 EV,EL Pro Pack,2025,Electric,Automatic,0,1,1899000,Arctic White,Maharashtra,456 km range. Fast charging. Spacious cabin.,1865000,2,https://images.unsplash.com/photo-1593941707882-a5bba14938ce?w=800
Kia,Seltos,GTX Plus Diesel AT,2025,Diesel,Automatic,0,1,2180000,Gravity Grey,Maharashtra,Ventilated seats. Bose audio. Book test drive today.,2135000,2,https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?w=800
Kia,Sonet,GTX Plus Turbo DCT,2025,Petrol,Automatic,0,1,1499000,Aurora Black,Maharashtra,Compact SUV. Turbo petrol. Ventilated seats.,1475000,2,https://images.unsplash.com/photo-1621007947412-bf9849fb4dbb?w=800
Kia,Carens,Prestige Plus Diesel AT 6 STR,2025,Diesel,Automatic,0,1,1899000,Imperial Blue,Maharashtra,6-seater MPV. Family friendly. Captain seats option.,1865000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Toyota,Innova Crysta,ZX Diesel AT 7 STR,2025,Diesel,Automatic,0,1,2899000,Super White,Maharashtra,Premium MPV. Captain seats. Toyota reliability.,2849000,2,https://images.unsplash.com/photo-1619767886555-ef069784966e?w=800
Toyota,Fortuner,Legender 4x4 AT,2025,Diesel,Automatic,0,1,5299000,Platinum White Pearl,Maharashtra,Full-size SUV. 4x4. Legender kit. Premium ownership.,5199000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
Toyota,Hyryder,V Hybrid E-CVT,2025,Hybrid,Automatic,0,1,1999000,Cafe Cream,Maharashtra,Strong hybrid. Fuel efficient. Toyota safety suite.,1965000,2,https://images.unsplash.com/photo-1609521263047-f8f205293f24?w=800
Honda,City,VX CVT,2025,Petrol,Automatic,0,1,1599000,Platinum White Pearl,Maharashtra,Sedan. Honda Sensing. Sunroof. Zero KM.,1575000,2,https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?w=800
Honda,Elevate,VX CVT,2025,Petrol,Automatic,0,1,1699000,Platinum White Pearl,Maharashtra,Compact SUV. ADAS. Honda reliability.,1675000,2,https://images.unsplash.com/photo-1621007947412-bf9849fb4dbb?w=800
MG,Hector,Sharp Pro CVT,2025,Petrol,Automatic,0,1,2199000,Candy White,Maharashtra,Connected SUV. Panoramic sunroof. 360 camera.,2165000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
MG,Comet EV,Play LR,2025,Electric,Automatic,0,1,799000,Aurora Silver,Maharashtra,City EV. Compact. Easy parking. Low running cost.,779000,2,https://images.unsplash.com/photo-1593941707882-a5bba14938ce?w=800
Skoda,Kushaq,Style 1.5 TSI AT,2025,Petrol,Automatic,0,1,1799000,Candy White,Maharashtra,European SUV. Turbo petrol. Premium build.,1765000,2,https://images.unsplash.com/photo-1609521263047-f8f205293f24?w=800
Volkswagen,Virtus,GT Plus DSG,2025,Petrol,Automatic,0,1,1799000,Carbon Steel,Maharashtra,Sporty sedan. DSG. GT styling pack.,1765000,2,https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?w=800
Jeep,Compass,Model S(O) Diesel AT,2025,Diesel,Automatic,0,1,3299000,Galactic Grey,Maharashtra,4x4 capable. Premium SUV. Trail rated.,3249000,2,https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?w=800
